intervener,target,start,end,source,direction,type,amount,air,naval,size_naval,firing_outside,intervener_casualties,target casualties,domestic_dispute,affect_policies,social_protective,pursuit_border,economic,strategic,humanitarian,territorial,military/diplomatic,contiguity,int_contig,description
775,800,19531011,19531011,1,6,0,0,4,0,9,0,0,7,0,9,0,1,9,1,0,9,0,1,1,KMT Suppression--NYT
652,666,19540316,19551211,1,3,0,0,0,9,9,1,63,6,0,1,9,0,1,9,0,2,9,1,1,Gal. Attacks-Khouri/NYT/FoF
666,652,19540316,19551211,1,3,5,9,9,9,9,9,6,63,0,1,0,9,1,1,0,1,9,1,1,Retal Raid-Khouri/NYT/FoF
651,666,19540325,19560430,1,3,4,9,0,0,9,1,258,22,9,1,9,0,9,1,9,1,9,1,1,DMZ/Gaza Skirmishes-Khouri/NYT
666,651,19540404,19560831,1,3,5,2,9,0,9,1,27,327,9,1,0,1,9,1,0,1,9,1,1,Gaza/Raids-Khri/NYT/FoF/Jssp
663,666,19540419,19551231,1,3,9,9,9,0,9,1,999,999,1,0,9,9,9,1,9,1,1,1,1,Border Firing--NYT
678,200,19540630,19541231,1,3,5,1,9,0,9,9,999,999,1,0,9,9,9,1,9,1,1,1,1,UK-Aden--NYT
200,678,19540731,19541231,1,3,9,9,4,9,9,9,999,999,9,1,0,1,1,1,0,1,1,1,1,UK-Aden--NYT
710,713,19540903,19550228,1,3,5,9,4,5,2,1,999,999,9,1,9,9,9,1,0,1,0,2,2,Tai. Str./Islands-Disp82/Kees
713,710,19540904,19550205,1,3,0,0,4,5,1,1,999,999,0,1,9,0,9,1,0,1,0,2,2,Taiwan Str.-Disp82/Stolper
2,713,19550130,19550211,1,1,0,0,3,4,2,9,0,0,0,1,0,0,9,1,9,9,0,0,0,Evacuation Cover--Stolper
2,710,19550130,19550211,1,3,0,0,4,9,9,0,999,999,0,1,0,0,9,1,9,9,9,0,0,Evacuation Cover--Stolper
710,775,19551120,19561130,1,3,5,2,9,0,9,9,7,999,9,1,9,9,9,1,0,2,9,1,1,Disputed Territ.--Zacher/NYT
817,811,19551130,19730815,1,3,4,1,9,4,1,9,999,999,0,1,9,0,1,9,0,2,0,1,2,Islands Dispute--Liefer
220,616,19560512,19601026,3,6,5,4,4,9,9,1,141,300,0,1,0,1,1,1,0,1,9,1,1,Alg/Guer-NYT/Jessp/Butterw/Ks
220,600,19560703,19610930,3,3,5,4,4,9,9,1,68,64,9,1,0,1,1,1,0,1,9,1,1,Post-Indep/Alg-NYT/FoF/C-H/Ks
666,663,19560704,19560831,1,6,5,9,9,0,9,1,999,999,9,1,0,1,9,1,0,1,9,1,1,Fedayeen Retal.-Khouri/Jessup
365,290,19561019,19561024,2,3,4,4,9,0,9,0,0,999,1,0,0,0,9,1,0,9,9,1,1,After Poz.Riots--Fejto/Butter
365,310,19561024,19580331,2,2,5,4,4,0,9,9,999,998,1,0,9,0,9,1,0,9,9,1,1,Hung.Rev.--Donelan/Grieve
666,651,19561029,19570331,1,3,5,4,4,5,2,9,998,998,9,1,0,1,1,1,0,9,9,1,1,Suez-Khouri/FoF/Kees/Dupuy
2,666,19561031,19561103,1,0,0,0,1,1,2,0,0,0,0,1,9,0,0,0,1,0,9,0,0,Sinai Evac.--NYT
2,663,19561031,19561103,1,0,0,0,1,0,9,0,0,0,0,1,9,0,0,0,1,0,9,0,0,Sinai Evac.--NYT
200,651,19561031,19561106,1,3,5,4,4,2,2,1,112,998,9,1,0,9,1,1,0,9,1,0,0,Suez-Khr/FoF/Ks/F-P/Lld/Dpy
220,651,19561031,19561106,1,3,5,4,4,2,2,1,43,998,9,1,0,9,1,1,0,9,1,0,0,Suez-Khouri/FoF/Ks/Flck-Pwll
652,663,19561031,19570414,1,5,4,2,9,0,9,0,999,999,9,1,9,0,9,1,0,9,9,1,1,Suez Wartime--NYT
2,651,19561102,19561103,1,0,0,0,0,1,1,0,0,0,0,1,9,0,0,0,1,0,9,0,0,Sinai Evac.--NYT
1,651,19561115,19670519,4,0,2,3,2,2,2,0,0,0,0,1,0,0,0,9,1,0,0,9,0,UNEF-Butterw/Riggs-P/Khouri
678,200,19570109,19581231,1,3,4,1,9,0,9,1,50,23,1,0,9,9,9,1,9,1,1,1,1,UK-Aden--NYT/Keesings
652,663,19570414,19570527,3,5,4,2,9,0,9,0,999,999,1,0,9,0,9,1,0,9,9,1,1,Nasserism--NYT
670,663,19570417,99999999,2,1,4,9,9,0,9,0,999,999,1,0,9,0,9,1,0,0,9,1,0,Nasserism--NYT
93,91,19570418,19570631,1,3,5,1,9,0,9,9,35,999,0,1,0,0,1,9,0,1,0,1,1,Border Dispute--NYT
645,663,19570422,19580802,1,1,4,1,9,0,9,0,999,999,1,0,9,0,9,1,0,9,9,1,1,Nasserism/Leb.-NYT/Butterw
2,660,19570501,19570504,1,5,0,0,0,4,2,0,0,0,9,1,9,0,9,1,0,0,9,0,0,Jordan Crisis--NYT
652,666,19570709,19580131,1,3,9,9,9,0,9,1,999,13,9,1,9,0,1,1,0,2,9,1,1,Huleh Drainage--NYT/LTimes
200,663,19570717,19571029,1,1,4,9,2,0,9,0,999,999,1,0,9,0,9,1,0,0,9,0,0,Nasserism--Jessup
200,698,19570719,19590410,2,1,5,1,4,9,9,9,999,30,1,0,9,0,1,9,0,9,9,0,1,Dhofar Reb.-NYT/MEPD/Keesngs
204,820,19570831,19630916,4,1,5,3,9,9,9,1,999,999,1,0,9,0,9,1,9,9,1,9,0,Post Indep--NYT
616,220,19570909,19570912,1,3,9,9,0,0,9,1,999,999,9,1,9,0,9,1,9,9,9,1,1,Alg. Clash--Jessup
651,652,19570915,19580131,1,5,4,2,3,4,9,0,0,0,9,1,9,0,9,1,0,0,9,0,0,Tur-Syr-FoF/Ks/Ptran/MPD/NYT
220,620,19571005,19571005,1,6,5,9,9,0,9,9,999,999,0,1,0,1,1,1,0,1,9,1,1,Alg. Rebels--NYT
2,640,19571018,19571120,1,1,9,9,9,4,1,0,0,0,0,1,0,0,9,1,0,0,9,0,0,Syr-Tur Disp-NYT/FoF
651,652,19580201,19610928,3,2,3,2,9,9,9,0,999,999,1,0,9,0,1,1,0,1,9,0,0,UAR Merger-NYT/Jessup
220,230,19580224,19580530,1,2,5,1,9,0,9,9,999,999,1,0,0,9,9,1,0,9,9,1,1,Defend Sp.Sah/Maur.-NYT
651,666,19580324,19581231,1,3,9,9,9,0,9,1,2,2,0,1,0,0,1,1,0,2,9,1,1,Huleh--NYT/LTimes/FoF
666,651,19580324,19581231,1,3,9,9,9,0,9,1,2,2,0,1,0,9,1,1,0,1,9,1,1,Huleh--NYT/LTimes/Fof
200,678,19580508,19591231,1,3,5,1,4,0,9,1,23,50,9,1,0,1,1,1,0,1,1,1,1,UK-Aden--NYT/Keesings
1,660,19580612,19581209,4,5,2,1,9,9,9,0,0,0,9,1,0,0,9,9,1,0,9,9,0,UNOGIL--Riggs-Plano/Butterw
2,660,19580715,19581024,1,5,4,4,3,2,2,0,2,999,1,0,9,0,1,1,0,0,9,0,0,Leb Civ War-Butterw/NYT/FoF
2,663,19580717,19580831,1,5,0,0,3,0,9,0,0,0,1,0,9,0,1,1,0,0,9,0,0,Air Cover UK--Butterw
200,663,19580717,19581103,1,1,4,2,3,9,9,0,0,999,1,0,9,0,1,1,0,0,9,0,0,Iraqi Rev.--Butterw
200,620,19580719,19581231,1,1,4,2,9,2,1,9,999,999,1,9,1,0,9,1,0,0,9,0,0,Nasserism/Iraq--NYT/FoF
2,40,19580728,19580801,2,2,3,9,0,9,9,0,0,0,9,1,0,0,9,1,9,9,1,1,0,Cuban Civil War--NYT
160,155,19580812,19580817,1,3,4,1,9,2,1,1,0,0,0,1,0,0,9,9,0,2,0,1,2,Beagle Ch.--NYT
710,713,19580823,19781231,1,3,0,0,4,5,1,1,999,999,9,1,9,9,9,1,0,1,0,2,2,Tai.Str./Qmoy-Disp82/Keesings
200,395,19580902,19590530,1,3,0,0,9,4,1,9,0,0,0,1,0,0,1,0,0,2,0,0,0,Iceland Fishing--FoF
713,710,19580903,19790131,1,3,9,9,9,9,9,1,999,999,0,1,0,0,0,1,0,1,1,2,2,Taiwan Str. Counter-Shell/NYT
2,710,19580907,19581231,1,5,0,0,3,2,2,9,999,999,0,1,0,0,9,1,1,2,9,0,0,Taiwan Str.--Disputes 82
2,713,19580907,19581231,1,1,9,9,3,2,2,9,999,999,0,1,0,0,9,1,1,2,9,0,0,Taiwan Str.--Disputes 82
1,663,19581025,19581029,4,5,0,0,1,0,9,0,0,0,9,1,0,0,0,9,1,0,0,9,0,Evac. UK Troops-Riggs-Plano
816,812,19590101,19640430,1,6,3,1,9,0,9,1,999,999,1,0,9,0,9,1,0,9,1,1,1,Est. Outposts--Jessup/NYT
645,651,19590310,19590430,1,6,5,1,4,0,9,9,0,1,9,1,0,1,9,1,0,0,9,1,1,Mosul Rebel-FoF/LT/NYT/Butterw
40,95,19590429,19590503,1,0,2,1,0,9,9,0,0,0,1,0,0,0,9,1,9,0,9,0,0,Exile Rebel.--NYT
2,95,19590501,19590505,1,2,0,0,0,4,1,0,0,0,1,0,0,0,9,1,0,9,9,0,0,Exile Rebel.--NYT
100,95,19590503,19590505,1,2,0,0,0,4,1,0,0,0,1,0,0,0,9,1,0,9,9,1,1,Exile Rebel.--NYT
40,42,19590623,19590623,1,3,5,1,0,0,9,9,0,999,1,0,9,0,9,1,9,9,0,2,2,Officer Leads Invas-NYT/Bethel
40,41,19590815,19590906,1,3,4,1,0,0,9,9,26,999,1,0,9,0,9,9,0,0,0,2,2,Raiding Party--FoF/NYT
2,40,19591120,19600215,2,3,3,9,9,9,9,0,999,999,9,1,0,0,9,9,9,9,1,1,0,US-Castro--Cong.Record
220,471,19600106,19601231,3,1,5,1,2,9,9,0,999,999,1,0,0,0,9,1,0,0,9,0,9,Anti-Rebel--NYT/LeVine
651,666,19600126,19601020,1,3,5,9,4,0,9,1,4,10,9,1,9,0,1,1,0,2,9,1,1,Syr DMZ-NYT/vHrn/Khri-MEJ/FoF
666,651,19600128,19601020,1,3,5,9,3,0,9,1,10,4,9,1,0,9,1,1,0,2,9,1,1,Syr DMZ-NYT/vHrn/Khri-MEJ/FoF
710,790,19600628,19610328,1,6,5,2,9,0,9,9,999,1,0,1,9,1,9,9,0,9,9,1,1,Nepal Border--NYT/Keesings
211,490,19600710,19610630,1,4,5,3,4,0,9,0,56,999,1,0,1,9,1,1,1,1,1,1,1,Pro-Katanga-Lefev/Zacher/NYT
1,490,19600716,19640630,4,0,5,4,2,2,2,0,126,206,9,1,1,0,0,1,1,9,1,9,0,Peacekeep-Lefever/Wainhse/NYT
2,490,19600731,19611231,1,5,9,9,2,2,2,0,999,999,9,1,1,0,9,9,1,0,1,0,0,Congo/UN/Evac--Keesings/NYT
220,483,19600811,19651031,2,1,4,9,9,0,9,0,999,999,1,0,9,0,9,1,0,0,9,0,0,Admin. North--Pittman
2,812,19610420,19621005,2,1,2,1,2,9,9,0,999,999,1,0,0,9,0,1,0,0,9,0,9,Advis.Combat--FoF/NYT
2,817,19610531,19650307,1,2,5,4,3,9,9,9,100,998,1,0,0,0,9,1,0,0,9,0,0,Anti-Insurg.--Karnow/PPap
200,690,19610701,19611019,1,1,4,3,3,4,2,0,0,0,0,1,0,0,1,1,0,1,9,0,9,Anti-Iraq-Jessup/Butterw/NYT
670,690,19610701,19610910,1,1,4,1,2,0,9,0,0,0,0,1,0,0,1,1,0,9,9,1,1,Iraqi Threat--Butterw/Zacher
220,616,19610719,19620813,3,3,5,4,4,9,9,9,125,998,0,1,0,9,9,1,0,9,1,1,0,Alg/Bzrte-Jesp/Ks/NYT/Btrw/AfD
365,265,19610812,19610930,2,1,4,4,9,9,9,0,0,0,0,1,0,0,9,1,0,9,9,0,9,Berlin--Kaplan
619,690,19610910,19630219,4,1,4,2,2,9,9,0,0,0,0,1,0,0,1,1,9,9,9,9,1,DeterIraq/UK-Hass./NYT/But./Z
2,42,19611120,19611206,1,3,4,2,0,4,2,0,0,0,1,0,0,0,9,1,9,0,9,0,0,Trujillo Ousted--NYT
750,235,19611217,19611219,1,3,5,4,4,5,9,9,22,17,0,1,9,0,1,9,9,1,0,1,1,Goa-Donelan/Butter/NYT
235,433,19611228,19731231,1,6,5,1,4,9,9,1,999,58,0,1,0,1,0,1,0,9,0,1,1,Guin-B Rev-AHBk/ACR/ARB/NYT/AC
850,210,19611231,19620818,1,3,5,1,4,2,1,9,10,999,0,1,9,0,1,9,9,1,0,2,2,W. Irian--Wainhouse
220,600,19620228,19620228,1,3,0,0,4,0,9,9,999,999,0,1,9,1,1,9,0,1,9,1,1,Unauth. Airraid--NYT
652,666,19620308,19621204,1,3,0,0,0,0,9,1,30,5,0,1,9,0,1,9,0,2,9,1,1,Shelling--Khouri/NYT
666,652,19620316,19621231,1,3,5,9,4,9,9,1,5,30,0,1,0,9,1,9,0,1,9,1,1,Attack Villages-Khouri/NYT
2,800,19620512,19621130,1,5,3,2,9,2,2,0,0,0,9,1,0,1,9,1,0,0,9,0,0,Deter Lao Crossing--FoF
200,800,19620525,19621130,1,5,0,0,3,0,9,0,999,999,9,1,0,9,9,1,0,9,9,0,0,Border Deterrence--NYT
900,800,19620530,19621130,1,5,0,0,3,0,9,0,999,999,9,1,0,9,9,1,0,9,9,0,0,Border Deterrence--NYT
750,710,19620604,19621020,1,3,5,1,2,0,9,9,5,2,0,1,9,0,9,1,0,2,9,1,1,Forward Ind. Posts-Maxwell
920,800,19620630,19621130,1,5,4,1,2,0,9,0,999,999,9,1,0,9,9,1,0,9,9,0,0,Border Deterrence--NYT
645,640,19620709,19620816,1,6,0,0,4,0,9,9,1,9,9,1,0,1,1,1,0,1,9,1,1,Kurdish Reb.-Kees/FoF/NYT
365,40,19620731,19621103,1,1,3,2,9,9,9,0,999,0,0,1,0,0,9,1,0,0,9,0,0,Missile Crisis--NYT/Kaplan
1,210,19620820,19621001,4,0,3,2,2,2,1,0,0,0,0,1,9,0,0,0,1,0,9,9,0,W. Irian--Riggs & Plano
651,678,19621001,19671215,1,1,5,4,4,9,9,9,998,998,1,0,9,0,9,1,0,0,9,0,0,Yem War/Butterw/Badeeb/Wenner
710,750,19621020,19621121,3,3,5,4,0,0,9,9,998,998,0,1,9,9,9,1,0,2,1,1,1,Ch-In Border-NYT/Dsp82/Mxwl/Ks
651,670,19621105,19670531,1,3,9,9,4,5,1,1,999,85,9,1,0,1,9,1,0,9,9,0,1,Yemen War-NYT/Btrw/Ks/Bdb/Wn
2,750,19621122,19621231,1,1,0,0,2,0,9,0,0,0,0,1,0,0,0,1,9,0,9,0,0,Transport Planes--NYT
200,835,19621208,19630531,1,1,5,9,4,9,9,9,35,40,1,0,9,0,1,1,0,9,9,0,0,Rebel.--James & Small
678,200,19630129,19640331,1,3,5,1,4,0,9,9,999,25,9,1,9,9,9,1,0,9,9,1,1,Border War-NYT/Jessp/MEJ/Ks
